author_id,outbound_msgs,inbound_msgs
117242,0,56
116230,0,42
115911,0,39
117627,0,39
115888,0,38
123287,0,38
122277,0,33
134104,0,33
142385,0,31
119439,0,30
120261,0,30
126781,0,30
131812,0,29
133542,0,29
130654,0,27
132028,0,27
115714,0,25
120648,0,25
131820,0,25
143890,0,25
132727,0,24
117624,0,23
118505,0,23
120576,0,23
123963,0,23
131476,0,23
117721,0,22
118392,0,22
119703,0,22
120701,0,22
122219,0,22
130696,0,22
131477,0,22
135810,0,22
144294,0,22
115913,0,21
116136,0,21
121656,0,21
131279,0,21
133571,0,21
122656,0,20
122720,0,20
132443,0,20
116785,0,19
120227,0,19
120251,0,19
131026,0,19
133250,0,19
115765,0,18
118701,0,18
133779,0,18
139532,0,18
140976,0,18
116879,0,17
117241,0,17
120054,0,17
120152,0,17
120613,0,17
120918,0,17
123777,0,17
123971,0,17
128435,0,17
116211,0,16
120700,0,16
123350,0,16
125348,0,16
127841,0,16
128594,0,16
131141,0,16
138795,0,16
142068,0,16
120395,0,15
120396,0,15
122366,0,15
123126,0,15
127186,0,15
127296,0,15
131040,0,15
132414,0,15
134995,0,15
116025,0,14
116151,0,14
116354,0,14
118918,0,14
119773,0,14
120469,0,14
121879,0,14
127430,0,14
128547,0,14
128967,0,14
129067,0,14
130197,0,14
131927,0,14
132745,0,14
141477,0,14
142015,0,14
142563,0,14
115722,0,13
116415,0,13
117480,0,13
118183,0,13
119430,0,13
119791,0,13
119904,0,13
121084,0,13
122994,0,13
123814,0,13
129717,0,13
133290,0,13
133419,0,13
134107,0,13
134785,0,13
135202,0,13
135279,0,13
135293,0,13
141521,0,13
142144,0,13
142566,0,13
143045,0,13
143338,0,13
115850,0,12
116397,0,12
117246,0,12
118824,0,12
119701,0,12
120032,0,12
120374,0,12
120424,0,12
122349,0,12
123786,0,12
124295,0,12
125860,0,12
126075,0,12
127344,0,12
129772,0,12
130361,0,12
130736,0,12
130878,0,12
130986,0,12
132033,0,12
133051,0,12
133883,0,12
133896,0,12
134946,0,12
137049,0,12
138045,0,12
140000,0,12
140081,0,12
140820,0,12
142147,0,12
142579,0,12
142588,0,12
143540,0,12
